"EGID";"EDID";"Strada";"Civico";"X";"Y";"NroPiani";"AbitazioniPrimarie";"AbitazioniSecondarie"
728736;0;"Via Casoro";"14";713759;90209;2;1;0
728818;0;"Via Cantonale";"73";713776;89763;3;3;0
728818;1;"Via Monte Panorama";"6";713776;89763;3;1;0
728818;2;"Via Monte Panorama";"4";713776;89763;3;1;0
728818;3;"Via Monte Panorama";"2";713776;89763;3;1;0
728818;4;"Via Monte Panorama";"8";713776;89763;3;1;0
728818;5;"Via Cantonale";"73a";713776;89763;3;0;1
728907;0;"Via Cantonale";"35";714747;90371;;0;0
730636;0;"Bogno";;725455;105550;2;1;0
730647;0;"Bogno";;725534;105570;2;0;1
730752;0;"Bascomuni";;725983;106049;;0;0
731570;0;"Vicolo Selvetta";"1a";715428;96368;1;0;0
731585;0;"Via Vergiò";"26";715748;96827;2;0;0
731585;1;"Via San Carlo";"7";715748;96827;2;0;0
731594;0;"Via Vergiò";"8";715925;96651;6;1;0
731595;0;"Via Sass Curona";"1";715279;96037;2;0;0
731604;0;"Via Lucino";"3";715963;96442;4;0;0
731612;0;"Via Dott. G. Polar";"69a";715462;96095;5;5;2
731612;1;"Via Dott. G. Polar";"69c";715462;96095;5;5;2
731612;2;"Via Dott. G. Polar";"69b";715462;96095;5;5;2
731614;0;"Via Dott. G. Polar";"46";715467;96379;3;0;0
731621;0;"Via Cresperone";"2a";715627;97130;3;0;0
731628;0;"Via Camara";"17";715678;97032;3;0;0
731628;1;"Via Camara";"19";715678;97032;3;0;0
732921;0;"Via Denti della Vecchia";"2";719907;100591;1;0;0
735899;0;"Salita della Chiesa";"3";719408;99555;2;1;0
736254;0;"Lung Portic";"4";721118;96052;4;2;0
736301;0;"Piazza Lucchini";"7";721219;96099;4;0;1
736332;0;"Via Cantonale";"36";721871;96720;2;0;0
737874;0;"Via Giacomo Brentani";"1";717657;97562;1;1;0
737920;0;"Via Monte Boglia";"8";717712;97410;2;1;0
738040;0;"Via Marco da Carona";"10";717774;96893;10;0;0
738119;0;"Via Bertaro Lambertenghi";"10a";717692;96545;5;1;0
738131;0;"Via Carlo Maderno";"15";717444;96522;5;12;0
738159;0;"Corso Elvezia";"27";717518;96402;5;1;0
738201;0;"Viale Carlo Cattaneo";"4";717863;95969;6;0;0
738225;0;"Corso Elvezia";"16";717518;96261;7;0;0
738225;1;"Via Serafino Balestra";"14";717518;96261;7;0;0
738241;0;"Via Emilio Bossi";"6";717416;96160;5;3;0
